iter	Logloss
0	0.6895865879
1	0.6851507035
2	0.6820215465
3	0.6784208678
4	0.6752228459
5	0.6716242886
6	0.6678708414
7	0.6650440765
8	0.6610867892
9	0.6577091755
10	0.6535516839
11	0.6502662997
12	0.6475129696
13	0.6448640821
14	0.6421809903
15	0.6388797591
16	0.6358541249
17	0.6332566123
18	0.6301357998
19	0.6276828595
20	0.6255927031
21	0.6227860027
22	0.6198283118
23	0.6173700343
24	0.6147966913
25	0.612396071
26	0.6100493681
27	0.6078038593
28	0.6047917214
29	0.602453665
30	0.5998772467
31	0.5972530025
32	0.5953633974
33	0.5937048394
34	0.5912149903
35	0.5891391369
36	0.5870656254
37	0.5848027821
38	0.582001994
39	0.5798027721
40	0.5784366472
41	0.5766385257
42	0.5744131246
43	0.572343951
44	0.5698351203
45	0.5673358534
46	0.565612434
47	0.5632774718
48	0.5616239977
49	0.5596795144
50	0.5580155393
51	0.5561239441
52	0.5541693802
53	0.5522275458
54	0.5499064741
55	0.5482526464
56	0.5464580868
57	0.5442408276
58	0.5426955489
59	0.5410867981
60	0.539536008
61	0.5377591257
62	0.5359696104
63	0.5345104457
64	0.532927271
65	0.5308335571
66	0.5291148191
67	0.5274563839
68	0.5259078771
69	0.5241264324
70	0.5223652942
71	0.5208825691
72	0.5194476921
73	0.5177564288
74	0.5163215905
75	0.5151510687
76	0.5139965035
77	0.5127122515
78	0.5107920291
79	0.5094192662
80	0.5079670809
81	0.507050406
82	0.5056051194
83	0.5040511032
84	0.5025892498
85	0.5011707423
86	0.5003226671
87	0.499416028
88	0.4985246411
89	0.4972006853
90	0.90	0.4817286089
91	0.4803768189
92	0.479128278
93	0.4777303648
94	0.4765255195
95	0.4757044138
96	0.4748458862
97	098	0.486856198	099	0.486006699	0100	0.4850945591
101	0.4841891833
102	0.4830853486
103	0.482140281
104	0.4809224468
105	0.4797246318
106	0.4788178373
10107	0.470681080108	0.4768289298
10109	0.4693829867
110	0.4686287578
111	0.4676587129
112	0.4665074695
113	0.4657106669
114	0.4644670279
115	0.4636704533
116	0.4628347041
117	0.4618728671
118	0.4608934893
119	0.4600750564
120	0.4593032928
121	0.4585098917
122	0.4577518668
123	0.456875247
124	0.4557518194
125	0.4548770098
126	0.4538386368
127	0.4531710893
128	0.4522784539
129	0.4517641323
130	0.4510674946
131	0.4503674629
132	0.4497817028
133	0.4487377665
134	0.4481264922
135	0.4471074503
136	0.4461917351
137	0.445570693
138	0.444918109
139	0.444174421
140	0.4436115488
141	0.4430002487
142	0.4419954479
143	0.4412928009
144	0.4403744635
145	0.4396044433
146	0.4387185215
147	0.4381192571
148	0.4374184323
149	0.4367601327
150	0.4360077169
151	0.4353960354
152	0.4347584303
153	0.4340528301
154	0.4328182485
155	0.4320949078
156	0.4315536845
157	0.4308876281
158	0.4300053254
159	0.4292653642
160	0.4286686576
161	0.4281593145
162	0.4275137513
163	0.4268308787
164	0.4262083754
165	0.4256955044
166	0.4248671499
167	0.4244374672
168	0.4241767355
169	0.4235239978
170	0.4228595115
171	0.4222514354
172	0.4217550776
173	0.4214753852
174	0.4208843956
175	0.4202025396
176	0.4194270081
177	0.4188453871
178	0.4180760008
179	0.4175848627
180	0.4165697509
181	0.4159620507
182	0.4154503518
183	0.4147127124
184	0.4141565385
185	0.4134547154
186	0.4130866042
187	0.4124923745
188	0.4118954745
189	0.4115057951
190	0.4111621191
191	0.4104897612
192	0.4098758353
193	0.4094383983
194	0.4088799008
195	0.408232975
196	0.407863582
197	0.4071541734
198	0.4067731644
199	0.4059448877
200	0.4053617857
201	0.4047151379
202	0.4043661017
203	0.4036393458
204	0.4029147671
205	0.4024436129
206	0.4018635247
207	0.4013909681
208	0.4009606557
209	0.4006001414
210	0.3999588965
211	0.3996704233
212	0.3991991275
213	0.3984858751
214	0.398134973
215	0.3974650039
216	0.3968321497
217	0.3963803102
218	0.396017817
219	0.3956514848
220	0.3951485522
221	0.3944812115
222	0.3940629629
223	0.3936300812
224	0.3933302815
225	0.3929273163
226	0.392253274
227	0.391928202
228	0.3913745912
229	0.3909923113
230	0.390480766
231	0.3900357459
232	0.3895858904
233	0.3890769116
234	0.3887319141
235	0.3883562491
236	0.38794563
237	0.3875410703
238	0.387284085
239	0.3867136942
240	0.3861588369
241	0.3856893758
242	0.3852142844
243	0.3848523983
244	0.3844682364
245	0.3838935096
246	0.3834453031
247	0.3830394768
248	0.382394465
249	0.3818781041
250	0.381239507
251	0.3807797094
252	0.3803658954
253	0.3799058732
254	0.3795483656
255	0.3790420932
256	0.3786473321
257	0.3780466356
258	0.377399827
259	0.3766021573
260	0.3761733843
261	0.3756720541
262	0.3751483484
263	0.3749641791
264	0.3746187961
265	0.3740304785
266	0.3736188407
267	0.3730805382
268	0.372616582
269	0.3722374593
270	0.3718437799
271	0.3715654247
272	0.3711376301
273	0.3707060229
274	0.3705131442
275	0.3701243723
276	0.369555794
277	0.3693594851
278	0.3690428099
279	0.3687441505
280	0.3683079123
281	0.3677461687
282	0.3672454447
283	0.3668109667
284	0.3663908919
285	0.3660849695
286	0.3658406896
287	0.3655661515
288	0.36512445
289	0.364754894
290	0.3642852586
291	0.36388419
292	0.3633316573
293	0.3629086474
294	0.3623368909
295	0.3620899114
296	0.3617723655
297	0.3615507112
298	0.3611523333
299	0.3605044942
300	0.3602286992
301	0.3599787454
302	0.3596865175
303	0.359360003
304	0.3591408581
305	0.3586823836
306	0.3582379658
307	0.3578242394
308	0.3576273985
309	0.3573048392
310	0.3569847337
311	0.3568063551
312	0.3566038479
313	0.3564007795
314	0.3562347155
315	0.3559422056
316	0.3556209759
317	0.3552324044
318	0.3548004028
319	0.3543920786
320	0.3541128856
321	0.3536161832
322	0.3532958591
323	0.3529852478
324	0.3523576812
325	0.3521017326
326	0.3518489581
327	0.3516427234
328	0.3514834941
329	0.3511531492
330	0.3506322654
331	0.3501609321
332	0.3498564547
333	0.349543035
334	0.3492070017
335	0.3489755205
336	0.3485935841
337	0.3484461621
338	0.3480268957
339	0.3478364086
340	0.3475660345
341	0.3471993923
342	0.3467959556
343	0.3465902916
344	0.3461178949
345	0.3459029027
346	0.3456433074
347	0.3452899964
348	0.3449977292
349	0.3445650805
350	0.344336434
351	0.3438992455
352	0.3436863995
353	0.3433493283
354	0.3430607197
355	0.3427845643
356	0.3425893997
357	0.3424414824
358	0.3420148389
359	0.3417290673
360	0.3415183595
361	0.3411203905
362	0.3408084718
363	0.3404413567
364	0.3400263352
