iter	Passed	Remaining
410	8466	12133
411	8488	12114
412	8513	12100
413	8540	12088
414	8563	12070
415	8583	12050
416	8599	12023
417	8621	12003
418	8654	12000
419	8672	11976
420	8695	11958
421	8725	11950
422	8744	11928
423	8771	11915
424	8794	11898
425	8819	11883
426	8842	11865
427	8866	11850
428	8885	11826
429	8904	11803
430	8923	11780
431	8940	11755
432	8964	11738
433	8989	11724
434	9009	11702
435	9028	11679
436	9050	11660
437	9068	11636
438	9085	11610
439	9111	11596
440	9129	11572
441	9144	11544
442	9165	11523
443	9191	11509
444	9206	11481
445	9233	11469
446	9254	11448
447	9273	11426
448	9298	11410
449	9332	11405
450	9360	11394
451	9375	11367
452	9400	11351
453	9428	11339
454	9447	11316
455	9472	11299
456	9489	11275
457	9508	11252
458	9525	11227
459	9539	11199
460	9567	11186
461	9591	11169
462	9619	11156
463	9655	11153
464	9676	11133
465	9697	11112
466	9713	11086
467	9731	11062
468	9752	11041
469	9773	11021
470	9795	11002
471	9817	10982
472	9840	10964
473	9860	10941
474	9885	10926
475	9907	10906
476	9924	10881
477	9940	10855
478	9973	10847
479	10012	10847
480	10051	10845
481	10076	10828
482	10095	10806
483	10116	10785
484	10133	10760
485	10167	10753
486	10186	10730
487	10205	10707
488	10221	10681
489	10237	10655
490	10257	10633
491	10281	10616
492	10300	10593
493	10324	10575
494	10347	10556
495	10378	10545
496	10403	10528
497	10430	10513
498	10447	10489
499	10465	10465
500	10481	10439
501	10504	10420
502	10527	10401
503	10543	10376
504	10566	10357
505	10586	10335
506	10612	10319
507	10634	10300
508	10659	10282
509	10680	10261
510	10697	10237
511	10717	10215
512	10735	10191
513	10754	10168
514	10772	10144
515	10793	10123
516	10814	10103
517	10830	10078
518	10854	10060
519	10875	10039
520	10899	10020
521	10923	10002
522	10941	9978
523	10960	9956
524	10980	9934
525	10998	9910
526	11018	9889
527	11037	9866
528	11059	9846
529	11081	9826
530	11101	9804
531	11118	9781
532	11139	9759
533	11158	9737
534	11178	9715
535	11204	9699
536	11222	9676
537	11243	9655
538	11262	9632
539	11281	9610
540	11300	9587
541	11317	9563
542	11345	9548
543	11362	9524
544	11385	9505
545	11405	9483
546	11436	9471
547	11477	9467
548	11501	9448
549	11538	9440
550	11570	9428
551	11618	9429
552	11649	9416
553	11680	9403
554	11726	9401
555	11754	9386
556	11770	9361
557	11823	9365
558	11845	9345
559	11876	9331
560	11898	9310
561	11939	9304
562	11976	9296
563	12010	9284
564	12032	9264
565	12065	9251
566	12089	9232
