iter	Passed	Remaining
418	2471	3427
419	2473	3415
420	2475	3404
421	2477	3392
422	2479	3381
423	2480	3370
424	2482	3358
425	2484	3347
426	2485	3335
427	2488	3325
428	2489	3313
429	2491	3302
430	2492	3291
431	2494	3280
432	2496	3269
433	2498	3258
434	2500	3247
435	2502	3237
436	2504	3226
437	2506	3215
438	2508	3205
439	2510	31440	2516	3190
441	2518	3179
442	2520	3168
443	2524	3161
444	2526	3150
445	2527	3140
446	2529	3129
447	2531	3118
448	2533	3108
449	2536	3099
450	2537	3089
451	2539	3079
452	2541	3068
453	2543	3058
454	2553	3058
455	2555	3048
456	2557	3038
457	2559	3028
458	2561	3018
459	2563	3008
460	2566	3000
461	2569	2991
462	2570	2981
463	2572	2971
464	2574	2961
465	2576	2952
466	2585	2950
467	2595	2950
468	2601	2945
469	2607	2940
470	2609	2931
471	2621	2932
472	2635	2936
473	2637	2927
474	2639	2917
475	2656	2924
476	2665	2922
477	2676	2923
478	2678	2913
479	2688	2912
480	2690	2902
481	2692	2893
482	2694	2884
483	2700	2878
484	2701	2868
485	2703	2859
486	2716	2861
487	2718	2852
488	2733	2856
489	2734	2846
490	2736	2837
491	2738	2827
492	2740	2818
493	2743	2809
494	2745	2800
495	2746	2791
496	2755	2788
497	2757	2779
498	2759	2770
499	2761	2761
500	2763	2752
501	2765	2743
502	2775	2742
503	2777	2733
504	2779	2724
505	2781	2715
506	2783	2706
507	2785	2697
508	2787	2688
509	2788	2679
510	2796	2676
511	2812	2680
512	2814	2671
513	2816	2662
514	2817	2653
515	2819	2644
516	2827	2641
517	2841	2644
518	2843	2635
519	2845	2626
520	2847	2618
521	2849	2609
522	2851	2600
523	2858	2596
524	2860	2588
525	2877	2592
526	2878	2583
527	2880	2575
528	2891	2574
529	2893	2565
530	2895	2556
531	2897	2548
532	2898	2539
533	2900	2531
534	2907	2526
535	2909	2518
536	2912	2511
537	2914	2502
538	2915	2493
539	2923	2490
540	2939	2493
541	2941	2485
542	2942	2476
543	2946	2469
544	2948	2461
545	2949	2452
546	2962	2453
547	2969	2449
548	2971	2441
549	2973	2432
550	2975	2424
551	2981	2419
552	2991	2418
553	2993	2410
554	2995	2402
555	2997	2394
556	2999	2385
557	3003	2379
558	3005	2371
559	3011	2366
560	3013	2358
561	3018	2352
562	3020	2344
563	3022	2336
564	3031	2333
565	3035	2327
566	3037	2319
567	3044	2315
568	3046	2307
569	3049	2300
570	3050	2292
571	3052	2284
572	3054	2275
573	3056	2268
574	3057	2260
575	3065	2256
576	3076	2255
577	3078	2247
578	3080	2240
579	3082	2232
580	3084	2224
581	3085	2216
582	3087	2208
583	3089	2200
584	3091	2192
585	3092	2184
586	3094	2177
587	3096	2169
588	3097	2161
589	3099	2154
590	3101	2146
591	3103	2138
592	3104	2131
593	3106	2123
594	3108	2115
595	3110	2108
596	3112	2101
597	3114	2093
598	3116	2086
599	3117	2078
600	3119	2070
601	3121	2063
602	3123	2056
603	3124	2048
604	3126	2041
605	3128	2033
606	3129	2026
607	3131	2019
608	3133	2011
609	3135	2004
610	3136	1997
611	3138	1989
612	3140	1982
613	3142	1975
614	3143	1968
615	3145	1961
616	3147	1953
617	3149	1946
618	3151	1939
619	3152	1932
620	3154	1925
621	3156	1918
622	3158	1911
623	3159	1904
624	3161	1896
625	3163	1889
626	3165	1882
627	3166	1875
628	3168	1868
629	3170	1861
630	3172	1854
631	3173	1848
632	3175	1841
633	3177	1834
634	3179	1827
635	3181	1820
636	3183	1813
637	3185	1807
638	3187	1800
639	3189	1793
640	3191	1787
641	3193	1780
642	3194	1773
643	3196	1767
644	3198	1760
645	3200	1753
646	3202	1747
647	3204	1740
648	3206	1733
649	3207	1727
650	3209	1720
651	3211	1713
652	3213	1707
653	3215	1700
654	3216	1694
655	3218	1687
656	3220	1681
657	3222	1674
658	3224	1668
659	3226664	3220	1622
665	3222	1667	666	3223	1668	667	3230	1669	668	3233	1670	669	3236	1594
670	3247	1592
671	3249	1585
672	3252	1580
673	3254	1573
674	3256	1567
675	3257	1677	676	3263	1678	677	3270	1553
678	3274	1547
679	3283	1545
680	3286	1539
681	3290	1534
682	3293	1528
683	3295	1522
684	3297	1516
685	3299	1510
686	3301	1504
687	3303	1497
688	3307	1492
689	3309	1486
690	3310	1480
691	3312	1693	692	3314	1694	693	3318	1695	694	3323	1458
695	3328	1697	696	3331	1698	697	3333	1699	698	3336	1700	3262	1391
701	3264	1385
702	3281	1386
703	3282	1380
704	3286	1375
705	3288	1369
706	3290	1363
707	3293	1358
708	3295	1352
709	3297	1346
