iter	Passed	Remaining
407	5543	8043
408	5559	8033
409	5567	8012
410	5578	7994
411	5590	7979
412	5605	7967
413	5619	7953
414	5628	7934
415	5640	7918
416	5648	7897
417	5664	7886
418	5674	7868
419	5685	7851
420	5700	7840
421	5707	7816
422	5715	7795
423	5727	7781
424	5735	7759
425	5747	7744
426	5765	7737
427	5774	7717
428	5789	7705
429	5798	7686
430	5811	7671
431	5825	7658
432	5840	7648
433	5854	7634
434	5863	7615
435	5879	7605
436	5889	7588
437	5907	7580
438	5917	7562
439	5928	7545
440	5945	7536
441	5957	7521
442	5966	7502
443	5979	7487
444	5988	7469
445	6003	7457
446	6014	7440
447	6026	7425
448	6033	7404
449	6052	7397
450	6067	7385
451	6077	7368
452	6090	7354
453	6101	7338
454	6112	7321
455	6127	7310
456	6139	7295
457	6154	7283
458	6170	7272
459	6184	7260
460	6201	7250
461	6220	7244
462	6229	7224
463	6244	7213
464	6258	7200
465	6275	7191
466	6287	7175
467	6299	7161
468	6312	7146
469	6328	7136
470	6340	7121
471	6352	7105
472	6364	7091
473	6380	7080
474	6395	7068
475	6409	7055
476	6423	7043
477	6436	7029
478	6449	7015
479	6460	6998
480	6473	6985
481	6481	6965
482	6496	6953
483	6510	6940
484	6520	6924
485	6530	6907
486	6541	6890
487	6559	6882
488	6570	6866
489	6584	6853
490	6599	6840
491	6606	6821
492	6618	6806
493	6626	6787
494	6643	6777
495	6649	6756
496	6656	6737
497	6672	6726
498	6685	6711
499	6700	6700
500	6711	6684
501	6726	6672
502	6742	6662
503	6750	6643
504	6762	6628
505	6769	6608
506	6783	6596
507	6798	6583
508	6810	6569
509	6827	6559
510	6833	6539
511	6845	6524
512	6858	6510
513	6874	6499
514	6885	6484
515	6899	6471
516	6915	6460
517	6925	6443
518	6945	6437
519	6958	6423
520	6973	6411
521	6982	6393
522	6994	6378
523	7001	6359
524	7020	6351
525	7026	6332
526	7036	6315
527	7050	6302
528	7064	6289
529	7076	6275
530	7086	6259
531	7102	6247
532	7117	6235
533	7131	6223
534	7142	6207
535	7150	6190
536	7159	6172
537	7169	6157
538	7185	6145
539	7200	6133
540	7208	6115
541	7222	6102
542	7234	6088
543	7240	6069
544	7252	6054
545	7266	6042
546	7283	6031
547	7291	6014
548	7297	5994
549	7313	5983
550	7331	5974
551	7344	5960
552	7350	5941
553	7361	5926
554	7371	5910
555	7556	7386	556	7398	5884
557	7411	5871
558	7424	5857
559	7433	5840
560	7446	5827
561	7460	5814
562	7471	5799
563	7487	5787
564	7502	5776
565	7518	5764
566	7533	5753
567	7548	5741
568	7561	5727
569	7575	5714
570	7586	5699
571	7598	5685
572	7615	5674
573	7629	5662
574	7642	5648
575	7649	5631
576	7667	5621
577	7682	5609
578	7694	5595
579	7708	5581
580	7720	5568
581	7734	5554
582	7743	5538
583	7757	5525
584	7765	5508
585	7776	5494
586	7791	5481
587	7806	5469
588	7816	5454
589	7826	5438
590	7838	5424
591	7853	5412
592	7863	5397
593	7874	5382
594	7880	5364
595	7891	5349
596	7903	5335
597	7915	5320
598	7928	5307
599	7938	5292
600	7950	5278
601	7956	5260
602	7968	5245
603	7977	5230
604	7994	5219
605	8006	5205
606	8020	5193
607	8028	5176
608	8042	5163
609	8057	5151
